"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",3,15556171,5185390,64.99631130350558
"hsa_executable_freeze",2,1301316,650658,5.437118159747194
"hsa_amd_memory_pool_allocate",8,1292350,161543,5.399656696566619
"hsa_amd_memory_pool_free",5,1225915,245183,5.122080039595672
"hsa_amd_vmem_address_reserve",2,1125510,562755,4.702570981972914
"hsa_signal_wait_scacquire",10,1085158,108515,4.533973506815366
"hsa_amd_vmem_handle_create",2,464590,232295,1.941135531905355
"hsa_amd_memory_async_copy_on_engine",2,414887,207443,1.7334679985053854
"hsa_executable_load_agent_code_object",2,335370,167685,1.4012325347835701
"hsa_amd_memory_lock_to_pool",2,216712,108356,0.9054593585532906
"hsa_signal_store_screlease",13,204169,15705,0.8530525848890084
"hsa_signal_create",207,111493,538,0.4658365954039556
"hsa_agent_get_info",65,103487,1592,0.4323861744555188
"hsa_amd_agents_allow_access",7,90608,12944,0.37857553600998817
"hsa_code_object_reader_create_from_memory",2,57376,28688,0.23972662407413342
"hsa_executable_iterate_symbols",17,47425,2789,0.19814966443662468
"hsa_amd_vmem_map",2,41447,20723,0.17317257020358004
"hsa_amd_vmem_address_free",2,38041,19020,0.15894172661747263
"hsa_signal_destroy",137,28018,204,0.1170639388125535
"hsa_signal_load_relaxed",314,25129,80,0.10499320859521226
"hsa_amd_vmem_handle_release",1,24596,24596,0.10276624452257713
"hsa_amd_vmem_unmap",2,23825,11912,0.09954487622989104
"hsa_isa_get_info_alt",2,18414,9207,0.0769368038152031
"hsa_amd_vmem_set_access",2,16360,8180,0.06835484470602382
"hsa_executable_symbol_get_info",245,16076,65,0.06716824471234957
"hsa_executable_create_alt",2,13666,6833,0.05709885744208567
"hsa_iterate_agents",1,11251,11251,0.04700857932686271
"hsa_amd_agent_iterate_memory_pools",3,9196,3065,0.03842244204869163
"hsa_amd_signal_async_handler",7,6542,934,0.027333581544425906
"hsa_signal_subtract_relaxed",2,5801,2900,0.024237558321494143
"hsa_amd_pointer_info",8,4447,555,0.018580317506582393
"hsa_executable_get_symbol_by_name",17,4418,259,0.01845915060581988
"hsa_amd_memory_pool_get_info",17,1721,101,0.007190628834906295
"hsa_amd_memory_copy_engine_status",2,1683,841,0.007031858413217487
"hsa_queue_add_write_index_screlease",13,1673,128,0.00699007672329938
"hsa_queue_load_read_index_scacquire",13,1146,88,0.004788181664615116
"hsa_amd_memory_unlock",2,1122,561,0.004687905608811658
"hsa_queue_load_read_index_relaxed",13,1092,84,0.0045625605390573355
"hsa_amd_agent_memory_pool_get_info",7,1081,154,0.0045166006801474175
"hsa_amd_profiling_get_dispatch_time",3,831,277,0.0034720584321947306
"hsa_signal_silent_store_relaxed",12,831,69,0.0034720584321947306
"hsa_system_get_info",4,731,182,0.003054241533013656
"hsa_agent_iterate_isas",1,701,701,0.0029288964632593335
"hsa_system_get_major_extension_table",1,501,501,0.0020932626648971844
"hsa_amd_profiling_set_profiler_enabled",3,400,133,0.0016712675967242988
"hsa_signal_add_relaxed",2,361,180,0.0015083190060436796
"hsa_amd_profiling_async_copy_enable",1,291,291,0.0012158471766169274
"hsa_dispatch",3,0,0,0.0
