"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMallocManaged",2,1542437462,771218731,82.7132051651454
"hipEventRecord",2,267806282,133903141,14.361111223827876
"hipFree",4,52741275,13185318,2.8282507441759437
"hipEventSynchronize",1,978449,978449,0.05246932525594438
"hipLaunchKernel",1,461233,461233,0.024733618508246208
"hipDeviceSynchronize",1,187577,187577,0.010058816170831876
"hipMalloc",1,169864,169864,0.009108956588719224
"hipEventElapsedTime",1,15679,15679,0.0008407863370374459
"hipEventCreate",2,2665,1332,0.00014291061854740692
"__hipPushCallConfiguration",1,1012,1012,5.42684975497095e-05
"__hipPopCallConfiguration",1,451,451,2.4184873908022713e-05
